School District,Student Name,Student ID,Race,Student Gender,ZipCode,% present fall,% present spring
Primary School - District A,"LastName, FirstName",71111337335,W,1,555444,99.42%,93.86
Middle School - District A,"LastName, FirstName",*,W,2,555444,97.37%,96.78
Primary School - District A,"LastName, FirstName",71113153739,B,2,555444,97.08%,93.86
High School - District A,"LastName, FirstName",71113195575,W,1,555444,94.44%,96.49
High School - District A,"LastName, FirstName",71115539975,B,1,555444,96.78%,94.74
Primary School - District A,"LastName, FirstName",71115575713,W,1,555444,96.78%,94.15
Primary School - District A,"LastName, FirstName",71115575713,W,1,555444,96.78%,94.15
High School - District A,"LastName, FirstName",71117959573,W,2,555444,97.95%,99.12
Primary School - District A,"LastName, FirstName",71119515719,W,2,555444,95.03%,94.15
Intermediate School - District A,"LastName, FirstName",71131179591,W,1,555444,95.91%,97.95
High School - District A,"LastName, FirstName",*,W,1,555444,89.47%,94.15
Intermediate School - District A,"LastName, FirstName",71131773591,W,1,555444,97.95%,97.95
High School - District A,"LastName, FirstName",71131935757,W,2,555444,95.03%,99.42
Middle School - District A,"LastName, FirstName",71133317339,W,2,555444,89.47%,96.49
Middle School - District A,"LastName, FirstName",71133597597,W,2,555444,95.32%,94.74
Primary School - District A,"LastName, FirstName",71133951773,W,1,555444,97.37%,93.57
Middle School - District A,"LastName, FirstName",71137571311,W,1,555444,92.98%,97.66
High School - District A,"LastName, FirstName",71137939373,W,2,555444,97.08%,91.81
High School - District A,"LastName, FirstName",71151795117,W,1,555444,94.74%,94.44
Primary School - District A,"LastName, FirstName",71151973319,W,1,555444,95.32%,94.44
Primary School - District A,"LastName, FirstName",71153517151,W,1,555444,95.03%,96.49
Middle School - District A,"LastName, FirstName",71153971379,W,2,555444,97.08%,93.86
High School - District A,"LastName, FirstName",71155513195,W,2,555444,100.00%,94.44
Primary School - District A,"LastName, FirstName",71155575359,W,1,555444,99.71%,95.61
Intermediate School - District A,"LastName, FirstName",71155957797,W,1,555444,97.95%,96.78
High School - District A,"LastName, FirstName",71155991759,W,1,555444,92.98%,97.95
High School - District A,"LastName, FirstName",71157179571,B,1,555444,99.12%,99.12
Middle School - District A,"LastName, FirstName",71157193377,W,2,555444,94.44%,88.3
Middle School - District A,"LastName, FirstName",71157193377,W,2,555444,94.44%,88.3
Middle School - District A,"LastName, FirstName",71157319515,W,1,555444,96.78%,88.3
Middle School - District A,"LastName, FirstName",71157555999,W,1,555444,98.25%,94.74
Middle School - District A,"LastName, FirstName",71159135197,W,1,555444,92.98%,97.08
Primary School - District A,"LastName, FirstName",71159375791,W,1,555444,95.32%,94.15
High School - District A,"LastName, FirstName",71159575955,W,1,555444,95.03%,99.71
Primary School - District A,"LastName, FirstName",71159791739,W,2,555444,98.25%,93.86
Primary School - District A,"LastName, FirstName",71159935353,W,2,555444,85.09%,96.78
High School - District A,"LastName, FirstName",71171335591,W,2,555444,97.08%,96.49
Primary School - District A,"LastName, FirstName",71171715939,W,2,555444,99.42%,96.2
Intermediate School - District A,"LastName, FirstName",71171797575,B,1,555444,93.57%,94.15
Middle School - District A,"LastName, FirstName",71171919711,W,1,555444,96.49%,96.49
Primary School - District A,"LastName, FirstName",71173155177,W,1,555444,97.66%,99.12
Middle School - District A,"LastName, FirstName",71173337577,W,2,555444,96.20%,94.44
Primary School - District A,"LastName, FirstName",71173599371,W,2,555444,96.49%,96.49
High School - District A,"LastName, FirstName",71175993519,W,1,555444,97.66%,96.78
Primary School - District A,"LastName, FirstName",71177379591,W,2,555444,96.78%,98.25
Middle School - District A,"LastName, FirstName",71177733591,W,2,555444,92.98%,99.12
Primary School - District A,"LastName, FirstName",71179115379,W,2,555444,99.12%,99.71
Intermediate School - District A,"LastName, FirstName",71179375777,W,2,555444,99.71%,97.95
Middle School - District A,"LastName, FirstName",71179557513,W,2,555444,90.64%,98.25
Middle School - District A,"LastName, FirstName",71179573777,W,1,555444,95.32%,93.57
Primary School - District A,"LastName, FirstName",71191139595,W,2,555444,94.15%,100
Intermediate School - District A,"LastName, FirstName",71191397373,W,2,555444,98.54%,94.15
Intermediate School - District A,"LastName, FirstName",71193959519,H,1,555444,99.42%,95.32
Middle School - District A,"LastName, FirstName",71195371317,W,1,555444,98.25%,100
Middle School - District A,"LastName, FirstName",71195393731,W,2,555444,94.44%,99.12
Intermediate School - District A,"LastName, FirstName",71195531151,W,1,555444,94.15%,96.78
Middle School - District A,"LastName, FirstName",71195939133,W,2,555444,97.37%,97.95
Middle School - District A,"LastName, FirstName",71195957553,B,1,555444,99.12%,96.78
High School - District A,"LastName, FirstName",71197191337,W,2,555444,94.74%,99.12
Middle School - District A,"LastName, FirstName",71197551573,W,2,555444,97.95%,97.66
Middle School - District A,"LastName, FirstName",71197915751,W,2,555444,96.78%,99.12
Primary School - District A,"LastName, FirstName",71199377737,W,1,555444,94.15%,96.2
Middle School - District A,"LastName, FirstName",71199755559,W,1,555444,95.32%,95.32
Middle School - District A,"LastName, FirstName",71199977779,W,1,555444,97.37%,93.27
Primary School - District A,"LastName, FirstName",71311353551,A,1,555444,97.08%,95.32
Primary School - District A,"LastName, FirstName",71311375771,W,2,555444,89.47%,97.08
Primary School - District A,"LastName, FirstName",71311771171,W,1,555444,98.54%,94.74
High School - District A,"LastName, FirstName",71311935115,W,2,555444,94.44%,98.54
Middle School - District A,"LastName, FirstName",71311979951,W,2,555444,94.44%,98.54
Middle School - District A,"LastName, FirstName",71313999717,W,1,555444,98.25%,91.81
Primary School - District A,"LastName, FirstName",71315397753,W,1,555444,97.08%,96.2
Intermediate School - District A,"LastName, FirstName",71315713937,W,2,555444,96.78%,98.54
Primary School - District A,"LastName, FirstName",71315715139,W,2,555444,98.54%,100
Intermediate School - District A,"LastName, FirstName",71315733171,W,2,555444,99.42%,100
Intermediate School - District A,"LastName, FirstName",71319519135,W,1,555444,94.15%,94.74
High School - District A,"LastName, FirstName",71319557133,W,1,555444,88.60%,93.57
Intermediate School - District A,"LastName, FirstName",71319955791,B,2,555444,95.03%,96.78
Intermediate School - District A,"LastName, FirstName",71331539935,W,1,555444,96.78%,90.94
Middle School - District A,"LastName, FirstName",71331575397,W,1,555444,96.49%,89.47
High School - District A,"LastName, FirstName",71331991193,W,1,555444,94.74%,99.42
Intermediate School - District A,"LastName, FirstName",71333193193,W,2,555444,100.00%,92.4
High School - District A,"LastName, FirstName",71333573933,W,1,555444,98.25%,92.4
Primary School - District A,"LastName, FirstName",71333577111,W,2,555444,98.83%,97.66
High School - District A,"LastName, FirstName",71333779993,W,1,555444,99.42%,94.74
Middle School - District A,"LastName, FirstName",71333911919,W,1,555444,92.40%,88.3
High School - District A,"LastName, FirstName",71333919157,W,1,555444,96.78%,95.61
Primary School - District A,"LastName, FirstName",71333931337,W,2,555444,99.42%,95.32
Intermediate School - District A,"LastName, FirstName",71333937171,W,1,555444,95.61%,93.86
High School - District A,"LastName, FirstName",71333979595,W,1,555444,91.52%,92.4
Middle School - District A,"LastName, FirstName",71335157937,W,1,555444,95.32%,100
Primary School - District A,"LastName, FirstName",71335719177,B,2,555444,97.66%,94.15
Intermediate School - District A,"LastName, FirstName",71335999979,W,1,555444,95.61%,88.3
Middle School - District A,"LastName, FirstName",71337933313,W,2,555444,97.95%,92.98
Primary School - District A,"LastName, FirstName",71337951315,W,2,555444,96.49%,98.25
High School - District A,"LastName, FirstName",71339393735,W,1,555444,94.74%,97.08
High School - District A,"LastName, FirstName",71339395791,W,2,555444,95.91%,99.71
Primary School - District A,"LastName, FirstName",71351117551,W,2,555444,99.42%,91.23
High School - District A,"LastName, FirstName",71351995911,W,2,555444,97.08%,95.32
Primary School - District A,"LastName, FirstName",71353913131,A,1,555444,94.74%,97.66
Primary School - District A,"LastName, FirstName",71353935953,W,1,555444,92.98%,94.15
Middle School - District A,"LastName, FirstName",71355155717,W,2,555444,98.25%,95.32
Primary School - District A,"LastName, FirstName",71357115375,W,1,555444,96.78%,94.15
Middle School - District A,"LastName, FirstName",71357535971,W,2,555444,99.71%,96.78
High School - District A,"LastName, FirstName",71357953511,W,2,555444,97.95%,97.08
Primary School - District A,"LastName, FirstName",71359393779,B,2,555444,91.52%,93.86
Primary School - District A,"LastName, FirstName",71359773797,W,2,555444,96.49%,99.12
Primary School - District A,"LastName, FirstName",71371139753,W,1,555444,96.49%,99.12
Primary School - District A,"LastName, FirstName",71371937113,W,2,555444,94.44%,98.25
Middle School - District A,"LastName, FirstName",71373197751,W,1,555444,96.78%,98.83
Primary School - District A,"LastName, FirstName",71373371179,I,2,555444,96.78%,95.03
Middle School - District A,"LastName, FirstName",71377195133,W,1,555444,100.00%,99.42
Middle School - District A,"LastName, FirstName",71377317197,W,1,555444,97.37%,94.44
Intermediate School - District A,"LastName, FirstName",71377335337,W,1,555444,94.44%,98.25
Intermediate School - District A,"LastName, FirstName",71377371139,W,1,555444,98.83%,97.66
High School - District A,"LastName, FirstName",71377755995,W,2,555444,92.98%,92.98
High School - District A,"LastName, FirstName",71379535939,W,2,555444,96.78%,94.74
High School - District A,"LastName, FirstName",71391137579,W,1,555444,98.25%,99.42
High School - District A,"LastName, FirstName",71391151191,W,1,555444,99.42%,95.32
High School - District A,"LastName, FirstName",71395311731,W,1,555444,94.74%,97.66
High School - District A,"LastName, FirstName",71395559331,W,2,555444,95.32%,94.15
High School - District A,"LastName, FirstName",71395591773,W,1,555444,98.25%,94.74
Middle School - District A,"LastName, FirstName",71395799173,W,1,555444,94.15%,98.25
Middle School - District A,"LastName, FirstName",71397119119,W,1,555444,98.25%,98.83
Primary School - District A,"LastName, FirstName",71397155393,W,2,555444,97.37%,95.91
High School - District A,"LastName, FirstName",71397595973,W,1,555444,97.37%,98.25
Primary School - District A,"LastName, FirstName",71397599153,W,1,555444,94.15%,90.64
High School - District A,"LastName, FirstName",71399179135,W,2,555444,94.74%,91.81
Primary School - District A,"LastName, FirstName",71511599551,W,2,555444,91.81%,100
High School - District A,"LastName, FirstName",71511951751,W,2,555444,93.86%,98.25
Primary School - District A,"LastName, FirstName",71515115371,W,2,555444,94.44%,98.54
Intermediate School - District A,"LastName, FirstName",71515757797,B,1,555444,97.95%,97.37
Primary School - District A,"LastName, FirstName",71515957759,W,2,555444,90.94%,97.95
Middle School - District A,"LastName, FirstName",71517157339,W,1,555444,97.37%,97.66
High School - District A,"LastName, FirstName",71517191397,W,1,555444,94.44%,95.61
Middle School - District A,"LastName, FirstName",71517757135,W,1,555444,93.86%,99.42
Intermediate School - District A,"LastName, FirstName",71519535353,B,2,555444,98.25%,96.78
High School - District A,"LastName, FirstName",71519575957,W,1,555444,97.08%,95.91
Middle School - District A,"LastName, FirstName",71519711997,W,1,555444,93.86%,95.91
High School - District A,"LastName, FirstName",71531579755,W,2,555444,99.71%,94.44
High School - District A,"LastName, FirstName",71531757713,W,2,555444,99.42%,88.3
High School - District A,"LastName, FirstName",71531993739,W,1,555444,91.52%,96.49
Middle School - District A,"LastName, FirstName",71533335517,W,2,555444,96.78%,96.2
High School - District A,"LastName, FirstName",71533359173,W,2,555444,99.71%,85.67
